"Lambda","upper","lower","upper.CI","lower.CI","upper.1","lower.1","upper.0","lower.0","Method"
1.072,-0.0370152315379449,-0.0730222997759272,-0.0134872563568227,-0.0970022670299798,0.644138640520086,0.621236289266663,0.69425858904259,0.68115387205803,"DVDS"
1.073,-0.0306197816913722,-0.0788826844206596,NA,NA,NA,NA,NA,NA,"ZSB"
1.073,-0.0367827572002931,-0.0733363154933786,-0.0132572346255401,-0.0973172688140793,0.64428689059662,0.621072733251181,0.69440904874456,0.681069647796913,"DVDS"
1.074,-0.0303034165812581,-0.0792040206650892,NA,NA,NA,NA,NA,NA,"ZSB"
1.074,-0.0365556161076955,-0.0735806470657833,-0.0130326484481766,-0.0975653612937921,0.644423499540036,0.620913999806309,0.694494646872093,0.680979115647731,"DVDS"
1.075,-0.0299873857789821,-0.0795250826601589,NA,NA,NA,NA,NA,NA,"ZSB"
1.075,-0.0363405121114311,-0.0738247680494035,-0.0128207753844657,-0.0978132616291195,0.644548122507749,0.620755354548187,0.69458012259759,0.68088863461918,"DVDS"
1.076,-0.0296716887135308,-0.0798458707849925,NA,NA,NA,NA,NA,NA,"ZSB"
1.076,-0.0361028713203183,-0.0740686816854952,-0.0125853872454774,-0.0980609730986428,0.644695335198609,0.620596797230939,0.694665478916434,0.680798206518928,"DVDS"
1.077,-0.0293563248151706,-0.0801663854178824,NA,NA,NA,NA,NA,NA,"ZSB"
1.077,-0.0358713132481373,-0.0743123793082242,-0.0123562043521812,-0.0983084860851365,0.644842352982492,0.62043833629067,0.694750715598894,0.680713666230629,"DVDS"
1.078,-0.029041293515435,-0.0804866269362932,NA,NA,NA,NA,NA,NA,"ZSB"
1.078,-0.0356262498930068,-0.0745335538328661,-0.0121140140530985,-0.0985321838687672,0.644997160098476,0.620302282094968,0.694835835927834,0.680623409991483,"DVDS"
1.079,-0.0287265942471354,-0.0808065957168653,NA,NA,NA,NA,NA,NA,"ZSB"
1.079,-0.0353920179410417,-0.0747834265733334,-0.011882019374763,-0.0987857492672468,0.64514388696666,0.620137403429136,0.694920830002469,0.680535904907702,"DVDS"
1.08,-0.0284122264443415,-0.0811262921354147,NA,NA,NA,NA,NA,NA,"ZSB"
1.08,-0.0351553677659723,-0.0750533039981148,-0.0116475385440812,-0.0990584126738599,0.645290422659296,0.619979400159906,0.69503270415802,0.680445790425268,"DVDS"
1.081,-0.0280981895423926,-0.0814457165669374,NA,NA,NA,NA,NA,NA,"ZSB"
1.081,-0.0349121422467047,-0.0753183984064608,-0.0114065969261353,-0.0993268855529864,0.645436767706935,0.61980431848814,0.695122716894601,0.68034890995364,"DVDS"
1.082,-0.0277844829778857,-0.0817648693856149,NA,NA,NA,NA,NA,NA,"ZSB"
1.082,-0.0346718472515728,-0.0755237813837503,-0.0111684849175357,-0.099534222889619,0.645586964294298,0.619683958768316,0.695207740152066,0.680258811545871,"DVDS"
1.083,-0.0274711061886734,-0.0820837509648113,NA,NA,NA,NA,NA,NA,"ZSB"
1.083,-0.0344357928932743,-0.0757393216156446,-0.0109345326240133,-0.0997527783200352,0.645732968683036,0.619556779578655,0.6952961011943,0.68016876157631,"DVDS"
1.084,-0.0271580586138626,-0.0824023616770835,NA,NA,NA,NA,NA,NA,"ZSB"
1.084,-0.0343039753484,-0.075990004968399,-0.0108149706498959,-0.100006695827789,0.645772675756388,0.619404626364391,0.69539463133279,0.680076651104788,"DVDS"
1.085,-0.0268453396938101,-0.0827207018941723,NA,NA,NA,NA,NA,NA,"ZSB"
1.085,-0.0340679987009785,-0.0762407974790575,-0.010581189215195,-0.100261191378787,0.645917081873972,0.619238709083807,0.695479506562864,0.67998508057495,"DVDS"
1.086,-0.0265329488701175,-0.0830387719870198,NA,NA,NA,NA,NA,NA,"ZSB"
1.086,-0.0338598813709578,-0.0764991923704918,-0.0103763599827613,-0.100522915526779,0.646061300674928,0.619065074897353,0.695564267267844,0.679921182045886,"DVDS"
1.087,-0.0262208855856325,-0.08335657232576,NA,NA,NA,NA,NA,NA,"ZSB"
1.087,-0.033625908070181,-0.0767371658693523,-0.0101449281982213,-0.10076474670843,0.646210294557835,0.618908069256927,0.695645235126279,0.679836202628016,"DVDS"
1.088,-0.0259091492844393,-0.0836741032797277,NA,NA,NA,NA,NA,NA,"ZSB"
1.088,-0.033389473641191,-0.0769660922208072,-0.00991080460798974,-0.100997189174115,0.646360728490564,0.618764851604236,0.695730943825044,0.679750202131755,"DVDS"
1.089,-0.0255977394118626,-0.0839913652174576,NA,NA,NA,NA,NA,NA,"ZSB"
1.089,-0.0331562899558499,-0.0772099606850202,-0.00967972378154211,-0.101244750466775,0.646504495003149,0.618608601892841,0.695818562577861,0.679660784958999,"DVDS"
1.09,-0.0252866554144575,-0.0843083585066926,NA,NA,NA,NA,NA,NA,"ZSB"
1.09,-0.0329238603492374,-0.0774679653073568,-0.0094494852216049,-0.101506132195312,0.64664459616129,0.618452026050094,0.695919991357451,0.679568456510528,"DVDS"
1.091,-0.0249758967400086,-0.0846250835143784,NA,NA,NA,NA,NA,NA,"ZSB"
1.091,-0.0327042266954544,-0.0777241179489276,-0.00923218066870204,-0.101765895792879,0.646787953581148,0.618295556372549,0.696019674321476,0.679492180276602,"DVDS"
1.092,-0.0246654628375292,-0.0849415406066741,NA,NA,NA,NA,NA,NA,"ZSB"
